country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Sierra Leone,61600000,131000000,61000000,76300000,74100000,115000000,69400000,47800000,74600000,55600000,38400000,57400000,51500000,61800000,40500000,58200000,45200000,83600000,108000000,127000000,198000000,141000000,201000000,162000000,143000000,158000000,183000000,115000000,164000000,160000000,83000000,143000000,175000000,293000000,352000000,250000000,225000000,158000000,143000000,101000000,248000000,489000000,528000000,407000000,409000000,358000000,385000000,513000000,339000000,414000000,431000000,376000000,401000000,405000000,794000000,921000000,698000000,541000000,483000000
Singapore,-2340000,-240000,8410000,4890000,3990000,18200000,17900000,54500000,35400000,114000000,197000000,194000000,166000000,126000000,83100000,43000000,37700000,36100000,15500000,12400000,30500000,48700000,49300000,34900000,90400000,59900000,54500000,37600000,31800000,152000000,2230000,10100000,23200000,24600000,15800000,14400000,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10100000,42900000,62100000,97200000,131000000,53000000,45100000,96200000,200000000,78100000,,,,,,,,,,,,,,,,
Solomon Islands,17000000,17900000,19800000,25000000,23900000,32400000,38700000,42900000,52600000,56400000,56600000,44100000,71200000,61500000,57200000,88800000,82000000,63400000,82100000,62000000,88700000,59900000,60800000,63500000,47500000,49900000,65400000,98300000,82500000,71800000,63000000,52500000,63700000,68900000,61400000,57000000,51000000,52800000,44200000,58700000,117000000,114000000,55000000,119000000,176000000,253000000,254000000,268000000,242000000,236000000,309000000,262000000,248000000,248000000,179000000,202000000,184000000,187000000,193000000
Somalia,219000000,236000000,209000000,274000000,180000000,232000000,357000000,103000000,237000000,229000000,176000000,188000000,163000000,246000000,337000000,593000000,365000000,754000000,728000000,673000000,1100000000,917000000,1160000000,839000000,907000000,870000000,1020000000,1020000000,705000000,687000000,740000000,253000000,951000000,1340000000,792000000,245000000,110000000,113000000,114000000,165000000,158000000,230000000,221000000,223000000,229000000,263000000,416000000,378000000,729000000,645000000,476000000,948000000,899000000,945000000,984000000,1230000000,1200000000,1760000000,1510000000
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398000000,420000000,510000000,467000000,671000000,700000000,745000000,723000000,646000000,725000000,774000000,693000000,736000000,770000000,800000000,1070000000,1100000000,1060000000,1340000000,1070000000,1230000000,1040000000,1460000000,1210000000,1010000000,886000000
South Korea,1640000000,1480000000,1500000000,1690000000,1100000000,1520000000,1500000000,1670000000,1440000000,2050000000,1570000000,1800000000,1790000000,1220000000,979000000,888000000,736000000,723000000,421000000,315000000,305000000,679000000,84000000,28300000,-57500000,-5150000,-25500000,10900000,2690000,61100000,52300000,55800000,-22500000,-50600000,-112000000,22900000,-151000000,-165000000,-58000000,-55500000,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379000000,1110000000,1290000000,1830000000,1680000000,1610000000,2180000000,1520000000
Sri Lanka,76400000,75000000,92900000,83300000,65200000,110000000,224000000,325000000,352000000,326000000,306000000,311000000,279000000,242000000,298000000,502000000,542000000,542000000,795000000,738000000,833000000,820000000,914000000,1030000000,1020000000,1040000000,951000000,694000000,827000000,796000000,859000000,964000000,660000000,696000000,582000000,458000000,378000000,293000000,383000000,199000000,242000000,319000000,318000000,606000000,427000000,1100000000,719000000,494000000,587000000,580000000,511000000,518000000,417000000,369000000,454000000,453000000,383000000,314000000,-246000000
St. Kitts and Nevis,,,,,,,,,,,,,,40000,16900000,6150000,10100000,7280000,6220000,4470000,13600000,8350000,7070000,6620000,8660000,10500000,11400000,13300000,23400000,22400000,12100000,10200000,10300000,14500000,8070000,4350000,8070000,9340000,8690000,6120000,5520000,14400000,36600000,60000,-260000,2720000,5150000,3130000,40200000,2810000,10400000,13300000,19800000,27100000,,,,,
St. Lucia,,,,,,,,,,,,,,400000,31800000,33500000,27300000,14000000,10600000,5350000,19100000,26600000,19200000,15900000,13500000,16800000,23300000,19200000,28500000,28100000,17300000,31900000,35000000,33100000,42000000,58300000,45500000,32300000,8700000,30600000,11900000,25200000,43800000,18100000,-18600000,11400000,19600000,18700000,14600000,35700000,38200000,30600000,24500000,22800000,17600000,14200000,15400000,15400000,8150000
St. Vincent and the Grenadines,,,,,,,,,,,,,,530000,16600000,22900000,16800000,13600000,13700000,14200000,21600000,20800000,17800000,12800000,9570000,13100000,25300000,23600000,26900000,23300000,22000000,21800000,23800000,18100000,14700000,54700000,30700000,6110000,26800000,20000000,7510000,12100000,6110000,7300000,10500000,8120000,4910000,61600000,23300000,26300000,15600000,15300000,7540000,7680000,8890000,14100000,9250000,11700000,16700000
Sudan,218000000,87000000,57700000,110000000,143000000,223000000,257000000,105000000,232000000,59600000,50800000,54600000,325000000,168000000,833000000,1030000000,905000000,956000000,1020000000,1670000000,1490000000,1470000000,1770000000,2280000000,1490000000,2670000000,1880000000,1520000000,1490000000,1210000000,1240000000,1210000000,702000000,614000000,537000000,282000000,268000000,191000000,294000000,346000000,328000000,291000000,427000000,770000000,1150000000,2060000000,2210000000,2120000000,2480000000,2370000000,1990000000,1640000000,1290000000,1460000000,813000000,978000000,821000000,861000000,929000000
Suriname,116000000,128000000,106000000,153000000,121000000,153000000,28700000,30100000,148000000,139000000,189000000,182000000,201000000,139000000,195000000,182000000,341000000,259000000,158000000,202000000,166000000,231000000,246000000,10800000,15100000,24900000,27500000,32600000,36200000,90300000,91600000,62700000,110000000,111000000,82900000,92600000,134000000,103000000,77400000,47800000,47600000,36300000,17800000,13500000,26600000,45100000,64400000,134000000,84600000,135000000,91400000,65400000,37000000,27100000,11700000,16400000,17000000,20100000,12400000
Syria,126000000,111000000,188000000,25200000,32300000,24900000,139000000,41000000,35700000,70800000,136000000,123000000,279000000,1880000000,3080000000,2920000000,2700000000,3240000000,2520000000,4980000000,4260000000,4150000000,2710000000,2090000000,1550000000,1460000000,1420000000,1320000000,248000000,183000000,1260000000,702000000,252000000,309000000,792000000,360000000,246000000,234000000,191000000,247000000,192000000,243000000,83000000,145000000,120000000,80600000,20200000,73900000,140000000,195000000,128000000,278000000,1350000000,3080000000,3530000000,4650000000,8490000000,10400000000,10800000000
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18400000,39200000,93200000,82800000,131000000,116000000,217000000,153000000,158000000,236000000,205000000,169000000,265000000,253000000,224000000,197000000,225000000,286000000,369000000,251000000,359000000,356000000,324000000,440000000,367000000,328000000,383000000
Tanzania,94400000,337000000,385000000,258000000,367000000,286000000,247000000,286000000,280000000,243000000,319000000,356000000,309000000,426000000,623000000,1010000000,871000000,1030000000,1130000000,1370000000,1460000000,1620000000,1640000000,1470000000,1440000000,1260000000,1380000000,1580000000,1600000000,1470000000,1660000000,1480000000,1750000000,1310000000,1270000000,1010000000,1040000000,1250000000,1310000000,1330000000,1410000000,1740000000,1780000000,2050000000,1930000000,1580000000,1950000000,2740000000,2130000000,3010000000,2840000000,2230000000,2630000000,3190000000,2440000000,2600000000,2350000000,2590000000,2370000000
Thailand,287000000,193000000,260000000,248000000,236000000,369000000,322000000,399000000,408000000,428000000,453000000,348000000,277000000,269000000,287000000,309000000,575000000,406000000,652000000,898000000,913000000,883000000,891000000,937000000,1020000000,1020000000,788000000,672000000,686000000,896000000,1040000000,889000000,854000000,646000000,585000000,720000000,784000000,662000000,772000000,991000000,657000000,330000000,343000000,-884000000,75100000,-129000000,-203000000,-316000000,-549000000,-5110000,12000000,-90600000,-69400000,34500000,335000000,54800000,226000000,250000000,-420000000
Timor-Leste,,18500000,,,,,,3060000,,,,,,,40000,890000,1610000,,30000,1040000,880000,590000,540000,1050000,,,590000,,30000,,150000,1240000,190000,620000,310000,20000,110000,650000,2410000,266000000,394000000,334000000,346000000,231000000,194000000,208000000,232000000,283000000,262000000,214000000,270000000,237000000,247000000,228000000,228000000,222000000,230000000,232000000,199000000
Togo,940000,25200000,35600000,54000000,119000000,103000000,93900000,105000000,132000000,118000000,108000000,110000000,112000000,115000000,158000000,145000000,152000000,199000000,270000000,261000000,195000000,146000000,184000000,274000000,282000000,276000000,331000000,205000000,323000000,317000000,362000000,274000000,290000000,127000000,160000000,222000000,175000000,153000000,166000000,91800000,98700000,68300000,73100000,61000000,72100000,88300000,82700000,116000000,290000000,477000000,370000000,478000000,222000000,205000000,190000000,205000000,172000000,344000000,283000000
Tonga,80000,150000,520000,360000,420000,3550000,4240000,8760000,11000000,4420000,9380000,4540000,6950000,6970000,13200000,14700000,18200000,25800000,27700000,57800000,37500000,41400000,43800000,45200000,39200000,37300000,32400000,40300000,30700000,38900000,42400000,28000000,35500000,41500000,41600000,39700000,37800000,36500000,33100000,30500000,26400000,32600000,31500000,31300000,26300000,37800000,27800000,35900000,27300000,39200000,60800000,74200000,66700000,71900000,73300000,71900000,85100000,86900000,86700000
Trinidad and Tobago,,720000,4660000,77900000,81800000,97100000,57400000,34100000,27200000,46500000,33100000,23100000,15600000,9740000,13600000,15600000,13700000,6520000,9100000,8350000,8170000,-4370000,11500000,14500000,13000000,19900000,39300000,57400000,10400000,7800000,24400000,-2730000,8330000,2130000,26800000,29000000,18400000,44500000,19600000,36700000,-4310000,-11000000,-15100000,-4170000,-1470000,-2520000,12700000,19000000,8090000,6340000,4250000,,,,,,,,
Tunisia,338000000,633000000,472000000,618000000,466000000,612000000,543000000,612000000,438000000,717000000,654000000,582000000,551000000,583000000,692000000,725000000,735000000,742000000,824000000,472000000,501000000,568000000,498000000,508000000,451000000,421000000,441000000,484000000,505000000,449000000,549000000,481000000,492000000,333000000,142000000,88500000,151000000,255000000,191000000,338000000,302000000,535000000,295000000,342000000,346000000,375000000,441000000,298000000,327000000,429000000,496000000,791000000,957000000,631000000,796000000,516000000,669000000,812000000,766000000
Turkey,1030000000,1320000000,1520000000,1540000000,1070000000,1280000000,1360000000,1330000000,1190000000,1110000000,1000000000,1090000000,1110000000,363000000,185000000,195000000,494000000,304000000,422000000,1390000000,2130000000,1710000000,1490000000,827000000,561000000,445000000,658000000,546000000,368000000,204000000,1740000000,2160000000,427000000,618000000,229000000,379000000,266000000,5100000,40900000,40300000,424000000,263000000,393000000,201000000,312000000,428000000,577000000,733000000,964000000,1180000000,895000000,2850000000,2880000000,2530000000,3040000000,2210000000,3720000000,3150000000,1120000000
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9920000,46100000,38500000,41300000,31500000,27100000,35500000,34200000,48700000,99800000,57200000,34500000,59900000,30600000,41100000,23900000,13200000,38500000,39200000,36500000,34200000,30900000,30700000,23000000,32500000,28100000,17200000
Tuvalu,,,,,,,,,,,,,,,,180000,12600000,9230000,8940000,11200000,10900000,11700000,14300000,10400000,14200000,9050000,10700000,54000000,22500000,10600000,8270000,8390000,11800000,7530000,9980000,11100000,12900000,11800000,9150000,6930000,7560000,12200000,15800000,8610000,10200000,10800000,15900000,11500000,16400000,15500000,12600000,29900000,21000000,24400000,31300000,52500000,25300000,26500000,18600000
Uganda,189000000,189000000,240000000,163000000,178000000,148000000,176000000,154000000,162000000,188000000,211000000,184000000,217000000,98700000,68100000,182000000,72600000,55500000,108000000,117000000,256000000,315000000,312000000,334000000,411000000,447000000,391000000,519000000,631000000,835000000,953000000,915000000,953000000,837000000,987000000,999000000,825000000,1080000000,878000000,807000000,1200000000,1210000000,1020000000,1220000000,1360000000,1310000000,1650000000,1690000000,1540000000,1740000000,1640000000,1460000000,1550000000,1590000000,1520000000,1650000000,1790000000,2010000000,1870000000
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455000000,527000000,418000000,569000000,621000000,638000000,685000000,727000000,722000000,1270000000,1490000000,1550000000,1180000000,1160000000
United Arab Emirates,3790000,4830000,3700000,3320000,4480000,120000,9620000,11600000,9100000,6570000,31400000,31100000,23700000,3440000,2390000,14300000,3520000,109000000,4280000,15600000,8890000,-250000,10900000,10200000,8230000,9710000,67800000,187000000,-19600000,-10400000,4650000,-12100000,-12300000,-13300000,-10400000,5110000,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,123000000,14700000,23900000,55600000,17000000,21200000,29400000,34600000,138000000,111000000,70300000,46700000,103000000,77300000,20600000,17000000,23000000,42400000,12100000,15900000,18400000,22100000,16000000,14500000,16200000,22100000,54000000,25800000,55200000,48200000,62600000,54800000,80600000,153000000,99300000,79500000,42600000,45000000,35500000,32500000,29000000,22400000,22700000,21600000,26500000,19100000,25300000,34400000,29000000,45000000,40900000,16000000,16100000,33000000,81800000,23500000,18500000,41500000,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1560000,10800000,37200000,85900000,95000000,154000000,180000000,180000000,221000000,205000000,243000000,229000000,265000000,183000000,165000000,169000000,168000000,163000000,193000000,133000000,242000000,273000000,300000000,465000000,513000000,639000000,541000000
Vanuatu,1390000,2500000,3530000,4350000,5350000,4510000,16100000,14700000,18600000,24000000,22100000,29400000,34800000,39100000,69700000,46900000,110000000,53700000,57200000,89700000,86800000,68400000,60100000,64800000,61600000,55900000,52100000,92100000,63800000,61300000,70600000,66100000,57600000,53800000,54100000,55400000,43000000,39800000,47800000,48600000,58900000,54000000,47700000,50000000,50700000,49700000,60200000,61100000,97600000,111000000,105000000,76500000,83800000,79300000,90400000,197000000,133000000,132000000,122000000
Venezuela,-6610000,-39300000,596000000,293000000,-363000000,17500000,173000000,152000000,104000000,67700000,29900000,44700000,43100000,36600000,20100000,12600000,-52800000,-28500000,-50700000,22400000,38800000,40900000,46000000,45300000,47200000,44300000,41500000,37600000,42600000,109000000,110000000,41900000,42100000,52900000,33100000,50500000,41800000,4330000,53000000,59700000,120000000,66900000,81900000,101000000,52000000,53500000,60300000,70000000,54400000,55400000,50300000,44300000,47700000,35000000,39100000,37300000,44400000,86800000,140000000
Vietnam,1260000000,1160000000,1200000000,1470000000,1570000000,1930000000,3070000000,2660000000,2500000000,2470000000,2200000000,2250000000,2640000000,2050000000,2780000000,1350000000,734000000,850000000,1100000000,877000000,555000000,596000000,579000000,359000000,373000000,365000000,365000000,209000000,247000000,189000000,239000000,296000000,640000000,362000000,1170000000,852000000,1080000000,1070000000,1330000000,1400000000,1660000000,1680000000,1400000000,1780000000,1740000000,1750000000,1750000000,2290000000,2130000000,3050000000,2520000000,2820000000,3500000000,3740000000,3930000000,3300000000,2910000000,2400000000,1570000000
Yemen,122000000,118000000,142000000,167000000,181000000,239000000,277000000,181000000,49100000,34800000,104000000,185000000,261000000,280000000,727000000,887000000,1640000000,1400000000,1080000000,866000000,1270000000,1160000000,1440000000,1030000000,1350000000,1030000000,677000000,829000000,483000000,580000000,650000000,386000000,324000000,409000000,211000000,192000000,293000000,454000000,505000000,597000000,435000000,537000000,301000000,290000000,294000000,317000000,303000000,231000000,392000000,527000000,634000000,436000000,672000000,967000000,1060000000,1790000000,2340000000,3230000000,7660000000
Zambia,8500000,8130000,50700000,45800000,173000000,85800000,215000000,470000000,246000000,149000000,86800000,129000000,115000000,209000000,234000000,305000000,218000000,338000000,501000000,672000000,688000000,526000000,750000000,521000000,594000000,790000000,895000000,730000000,737000000,576000000,670000000,1180000000,1330000000,1170000000,920000000,2350000000,735000000,799000000,468000000,816000000,1120000000,815000000,1120000000,927000000,1200000000,1230000000,1560000000,994000000,1040000000,1220000000,893000000,953000000,907000000,1060000000,926000000,808000000,982000000,1040000000,961000000
Zimbabwe,,90000,,92600000,37500000,28700000,2860000,2690000,16800000,4690000,3880000,3920000,4480000,4240000,6880000,15300000,25200000,24000000,28300000,30900000,347000000,400000000,505000000,498000000,749000000,576000000,460000000,511000000,432000000,427000000,476000000,525000000,1050000000,695000000,755000000,579000000,449000000,437000000,350000000,304000000,230000000,231000000,270000000,222000000,203000000,401000000,282000000,465000000,596000000,740000000,691000000,665000000,923000000,758000000,691000000,786000000,662000000,726000000,763000000
